fid,fname,tname
B01001_001E,total,sex by age
B02001_002E,total__white alone,race
B02001_003E,total__black or african american alone,race
B06001_002E,total__under 5 years,place of birth by age in the united states
B08301_001E,total,means of transportation to work
B08301_010E,total__public transportation (excluding taxicab),means of transportation to work
B08301_018E,total__bicycle,means of transportation to work
B08301_019E,total__walked,means of transportation to work
B08301_021E,total__worked from home,means of transportation to work
B11012_003E,total__married-couple household__with children of the householder under 18 years,households by type
B11012_006E,total__cohabiting couple household__with children of the householder under 18 years,households by type
B11012_010E,"total__female householder, no spouse or partner present__with children of the householder under 18 years",households by type
B11012_015E,"total__male householder, no spouse or partner present__with children of the householder under 18 years",households by type
B15003_001E,total,educational attainment for the population 25+ yr
B15003_018E,total__ged or alternative credential,educational attainment for the population 25+ yr
B15003_019E,"total__some college, less than 1 year",educational attainment for the population 25+ yr
B15003_020E,"total__some college, 1 or more years, no degree",educational attainment for the population 25+ yr
B15003_021E,total__associate's degree,educational attainment for the population 25+ yr
B15003_022E,total__bachelor's degree,educational attainment for the population 25+ yr
B15003_023E,total__master's degree,educational attainment for the population 25+ yr
B15003_024E,total__professional school degree,educational attainment for the population 25+ yr
B15003_025E,total__doctorate degree,educational attainment for the population 25+ yr
B16004_001E,total,age by language spoken at home by ability to speak english for the population 5+ yr
B16004_002E,total__5 to 17 years,age by language spoken at home by ability to speak english for the population 5+ yr
B16004_007E,"total__5 to 17 years__speak spanish__speak english ""not well""",age by language spoken at home by ability to speak english for the population 5+ yr
B16004_008E,"total__5 to 17 years__speak spanish__speak english ""not at all""",age by language spoken at home by ability to speak english for the population 5+ yr
B16004_012E,"total__5 to 17 years__speak other indo-european languages__speak english ""not well""",age by language spoken at home by ability to speak english for the population 5+ yr
B16004_013E,"total__5 to 17 years__speak other indo-european languages__speak english ""not at all""",age by language spoken at home by ability to speak english for the population 5+ yr
B16004_017E,"total__5 to 17 years__speak asian and pacific island languages__speak english ""not well""",age by language spoken at home by ability to speak english for the population 5+ yr
B16004_018E,"total__5 to 17 years__speak asian and pacific island languages__speak english ""not at all""",age by language spoken at home by ability to speak english for the population 5+ yr
B16004_022E,"total__5 to 17 years__speak other languages__speak english ""not well""",age by language spoken at home by ability to speak english for the population 5+ yr
B16004_023E,"total__5 to 17 years__speak other languages__speak english ""not at all""",age by language spoken at home by ability to speak english for the population 5+ yr
B16004_029E,"total__18 to 64 years__speak spanish__speak english ""not well""",age by language spoken at home by ability to speak english for the population 5+ yr
B16004_030E,"total__18 to 64 years__speak spanish__speak english ""not at all""",age by language spoken at home by ability to speak english for the population 5+ yr
B16004_034E,"total__18 to 64 years__speak other indo-european languages__speak english ""not well""",age by language spoken at home by ability to speak english for the population 5+ yr
B16004_035E,"total__18 to 64 years__speak other indo-european languages__speak english ""not at all""",age by language spoken at home by ability to speak english for the population 5+ yr
B16004_039E,"total__18 to 64 years__speak asian and pacific island languages__speak english ""not well""",age by language spoken at home by ability to speak english for the population 5+ yr
