msa,us_region
"Atlanta-Sandy Springs-Roswell, GA",South
"Austin-Round Rock-San Marcos, TX",South
"Baltimore-Columbia-Towson, MD",South
"Birmingham, AL",South
"Boston-Cambridge-Newton, MA-NH",Northeast
"Buffalo-Cheektowaga, NY",Northeast
"Charlotte-Concord-Gastonia, NC-SC",South
"Chicago-Naperville-Elgin, IL-IN",Midwest
"Cincinnati, OH-KY-IN",Midwest
"Cleveland-Elyria, OH",Midwest
"Columbus, OH",Midwest
"Dallas-Fort Worth-Arlington, TX",South
"Denver-Aurora-Centennial, CO",West
"Detroit-Warren-Dearborn, MI",Midwest
"Fresno, CA",West
"Grand Rapids-Wyoming-Kentwood, MI",Midwest
"Houston-Pasadena-The Woodlands, TX",South
"Indianapolis-Carmel-Greenwood, IN",Midwest
"Jacksonville, FL",South
"Kansas City, MO-KS",Midwest
"Las Vegas-Henderson-North Las Vegas, NV",West
"Los Angeles-Long Beach-Anaheim, CA",West 
"Louisville/Jefferson County, KY-IN",Midwest
"Memphis, TN-MS-AR",South
"Miami-Fort Lauderdale-West Palm Beach, FL",South
"Milwaukee-Waukesha, WI",Midwest
"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest
"Nashville-Davidson--Murfreesboro--Franklin, TN",South
"New York-Newark-Jersey City, NY-NJ",Northeast
"Oklahoma City, OK",South
"Orlando-Kissimmee-Sanford, FL",South
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Northeast
"Phoenix-Mesa-Chandler, AZ",West
"Pittsburgh, PA",Northeast
"Portland-Vancouver-Hillsboro, OR-WA",West
"Providence-Warwick, RI-MA",Northeast
"Raleigh-Cary, NC",South
"Richmond, VA",South
"Riverside-San Bernardino-Ontario, CA",West
"Sacramento-Roseville-Folsom, CA",West
"St. Louis, MO-IL",Midwest
"Salt Lake City-Murray, UT",West
"San Antonio-New Braunfels, TX",South
"San Diego-Chula Vista-Carlsbad, CA",West
"San Francisco-Oakland-Fremont, CA",West
"San Jose-Sunnyvale-Santa Clara, CA",West
"Seattle-Tacoma-Bellevue, WA",West
"Tampa-St. Petersburg-Clearwater, FL",South
"Virginia Beach-Chesapeake-Norfolk, VA-NC",South
"Washington-Arlington-Alexandria, DC-VA-MD-WV",South
